DATE,DAY,MONTH,QUARTER,YEAR,WEEKDAY,MONTH_NAME,IS_WEEKEND,WEEK_OF_YEAR,FISCAL_YEAR
2022-01-01,1,1,1,2022,Saturday,January,1,0,2021
2022-01-02,2,1,1,2022,Sunday,January,1,0,2021
2022-01-03,3,1,1,2022,Monday,January,0,1,2021
2022-01-04,4,1,1,2022,Tuesday,January,0,1,2021
2022-01-05,5,1,1,2022,Wednesday,January,0,1,2021
2022-01-06,6,1,1,2022,Thursday,January,0,1,2021
2022-01-07,7,1,1,2022,Friday,January,0,1,2021
2022-01-08,8,1,1,2022,Saturday,January,1,1,2021
2022-01-09,9,1,1,2022,Sunday,January,1,1,2021
2022-01-10,10,1,1,2022,Monday,January,0,2,2021
2022-01-11,11,1,1,2022,Tuesday,January,0,2,2021
2022-01-12,12,1,1,2022,Wednesday,January,0,2,2021
2022-01-13,13,1,1,2022,Thursday,January,0,2,2021
2022-01-14,14,1,1,2022,Friday,January,0,2,2021
2022-01-15,15,1,1,2022,Saturday,January,1,2,2021
2022-01-16,16,1,1,2022,Sunday,January,1,2,2021
2022-01-17,17,1,1,2022,Monday,January,0,3,2021
2022-01-18,18,1,1,2022,Tuesday,January,0,3,2021
2022-01-19,19,1,1,2022,Wednesday,January,0,3,2021
2022-01-20,20,1,1,2022,Thursday,January,0,3,2021
2022-01-21,21,1,1,2022,Friday,January,0,3,2021
2022-01-22,22,1,1,2022,Saturday,January,1,3,2021
2022-01-23,23,1,1,2022,Sunday,January,1,3,2021
2022-01-24,24,1,1,2022,Monday,January,0,4,2021
2022-01-25,25,1,1,2022,Tuesday,January,0,4,2021
2022-01-26,26,1,1,2022,Wednesday,January,0,4,2021
2022-01-27,27,1,1,2022,Thursday,January,0,4,2021
2022-01-28,28,1,1,2022,Friday,January,0,4,2021
2022-01-29,29,1,1,2022,Saturday,January,1,4,2021
2022-01-30,30,1,1,2022,Sunday,January,1,4,2021
2022-01-31,31,1,1,2022,Monday,January,0,5,2021
2022-02-01,1,2,1,2022,Tuesday,February,0,5,2021
2022-02-02,2,2,1,2022,Wednesday,February,0,5,2021
2022-02-03,3,2,1,2022,Thursday,February,0,5,2021
2022-02-04,4,2,1,2022,Friday,February,0,5,2021
2022-02-05,5,2,1,2022,Saturday,February,1,5,2021
2022-02-06,6,2,1,2022,Sunday,February,1,5,2021
2022-02-07,7,2,1,2022,Monday,February,0,6,2021
2022-02-08,8,2,1,2022,Tuesday,February,0,6,2021
2022-02-09,9,2,1,2022,Wednesday,February,0,6,2021
2022-02-10,10,2,1,2022,Thursday,February,0,6,2021
2022-02-11,11,2,1,2022,Friday,February,0,6,2021
2022-02-12,12,2,1,2022,Saturday,February,1,6,2021
2022-02-13,13,2,1,2022,Sunday,February,1,6,2021
2022-02-14,14,2,1,2022,Monday,February,0,7,2021
2022-02-15,15,2,1,2022,Tuesday,February,0,7,2021
2022-02-16,16,2,1,2022,Wednesday,February,0,7,2021
2022-02-17,17,2,1,2022,Thursday,February,0,7,2021
2022-02-18,18,2,1,2022,Friday,February,0,7,2021
2022-02-19,19,2,1,2022,Saturday,February,1,7,2021
2022-02-20,20,2,1,2022,Sunday,February,1,7,2021
2022-02-21,21,2,1,2022,Monday,February,0,8,2021
2022-02-22,22,2,1,2022,Tuesday,February,0,8,2021
